name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_per_night,days_since_last_review
Clean & quiet apt home by the park,2787,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,6,365,149.0,262.0
Skylit Midtown Castle,2845,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2,355,225.0,48.0
THE VILLAGE OF HARLEM....NEW YORK !,4632,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,1,365,50.0,0.0
Cozy Entire Floor of Brownstone,4869,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,1,194,89.0,3.0
Entire Apt: Spacious Studio/Loft by central park,7192,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,1,0,8.0,231.0
Large Cozy 1 BR Apartment In Midtown East,7322,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,1,129,66.66666666666667,16.0
BlissArtsSpace!,7356,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,1,0,1.3333333333333333,641.0
Large Furnished Room Near B'way ,8967,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,1,220,39.5,14.0
Cozy Clean Guest Room - Family Apt,7490,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,1,0,39.5,717.0
Cute & Cozy Lower East Side 1 bdrm,7549,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,4,188,150.0,29.0
Beautiful 1br on Upper West Side,7702,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,1,6,27.0,16.0
Central Manhattan/near Broadway,7989,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1,39,42.5,15.0
"Lovely Room 1, Garden, Best Area, Legal rental",9744,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,3,314,22.25,14.0
Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,1,333,42.5,3.0
West Village Nest - Superhost,11975,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,1,0,1.3333333333333333,250.0
Only 2 stops to Manhattan studio,15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1,46,70.0,9.0
Perfect for Your Parents + Garden,17571,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1,321,107.5,10.0
Chelsea Perfect,18946,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,1,12,140.0,7.0
Hip Historic Brownstone Apartment with Backyard,20950,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,1,21,33.0,16.0
Huge 2 BR Upper East  Cental Park,17985,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,2,249,27.142857142857142,0.0
Sweet and Spacious Brooklyn Loft,21207,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,1,0,99.66666666666667,2749.0
CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,6,347,65.0,7.0
CBG Helps Haiti Room#2.5,22486,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,6,364,80.0,188.0
CBG Helps Haiti Rm #2,22486,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,6,304,55.0,6.0
"MAISON DES SIRENES1,bohemian apartment",25183,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2,233,60.0,19.0
Sunny Bedroom Across Prospect Park,25326,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2,85,60.0,15.0
Magnifique Suite au N de Manhattan - vue Cloitres,26394,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,1,0,20.0,0.0
Midtown Pied-a-terre,30193,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,1,75,15.0,694.0
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,3,311,14.666666666666666,23.0
